Species	Lat	Long
Colobura_dirce	-2.639444	-44.8475
Historis_acheronta	-2.639444	-44.8475
Historis_odius	-2.639444	-44.8475
Colobura_dirce	-22.285556	-46.612222
Colobura_dirce	-19.646371	-42.559037
Historis_odius	-19.646371	-42.559037
Historis_acheronta	-19.646371	-42.559037
Colobura_dirce	-21.724444	-43.279722
Historis_acheronta	-20.640556	-56.741111
Historis_odius	-20.640556	-56.741111
Colobura_dirce	-20.640556	-56.741111
Colobura_annulata	-0.466667	-79.2
Colobura_dirce	-0.466667	-79.2
Colobura_dirce	-23.965556	-46.349444
Colobura_dirce	-6.97063	-35.714785
Colobura_dirce	8.446082	-80.013638
Historis_odius	8.446082	-80.013638
Colobura_dirce	-23.75	-46.033333
Historis_odius	-23.75	-46.033333
Historis_acheronta	-23.75	-46.033333
Historis_acheronta	1.463689	-61.025164
Historis_odius	1.463689	-61.025164
Colobura_dirce	1.463689	-61.025164
Colobura_dirce	7.483156	-73.252167
Historis_odius	7.483156	-73.252167
Historis_odius	7.472289	-73.187844
Colobura_dirce	7.472289	-73.187844
Colobura_dirce	7.495775	-73.199533
Colobura_dirce	7.527072	-73.259411
Colobura_dirce	23.135042	-81.930079
Historis_odius	23.135042	-81.930079
Colobura_dirce	10.388139	-66.968556
Historis_acheronta	10.388139	-66.968556
Historis_odius	10.388139	-66.968556
Baeotus_deucalion	0.05	-74.566667
Colobura_dirce	0.05	-74.566667
Historis_odius	0.05	-74.566667
Historis_odius	-5.841139	-35.212469
Colobura_dirce	-23.567892	-46.721263
Colobura_dirce	9.792842	-75.30155
Colobura_dirce	-25.99385278	-48.88879444
Colobura_dirce	-25.96975	-48.90006944
Colobura_dirce	-26.00272222	-48.88473056
Colobura_dirce	-2.038333333	-60.00666667
Colobura_dirce	-25.96975	-48.90006944
Colobura_dirce	-22.81666667	-47.1
Colobura_dirce	-22.9	-47.05
Colobura_dirce	-21.31666667	-47.26666667
Colobura_dirce	-15.822686	-55.418388
Colobura_dirce	-15.822686	-55.418388
Colobura_dirce	1.928888889	-61.0225
Colobura_dirce	-23.25	-46.91666667
Colobura_dirce	-22.75	-45.46666667
Colobura_dirce	-2.043333333	-60.00527778
Colobura_dirce	-22.25	-47.16666667
Colobura_dirce	-25.99385278	-48.88879444
Colobura_dirce	-27.02833333	-49.03805556
Colobura_dirce	-15.32330036	-58.00360107
Colobura_dirce	-22.81666667	-47.1
Colobura_dirce	-15.32330036	-58.00360107
Colobura_dirce	2.525555556	-61.04027778
Colobura_dirce	-3.793055556	-60.30333333
Colobura_dirce	2.525833333	-61.03944444
Colobura_dirce	-15.32330036	-58.00360107
Colobura_dirce	-15.00809956	-59.95059967
Colobura_dirce	-15.32330036	-58.00360107
Colobura_dirce	-15.822686	-55.418388
Colobura_dirce	-23.76666667	-46.3
Colobura_dirce	-25.99385278	-48.88879444
Colobura_dirce	-13.66310024	-59.78580093
Colobura_dirce	-26.00272222	-48.88473056
Colobura_dirce	-25.99385278	-48.88879444
Colobura_dirce	-25.97712778	-48.89678333
Colobura_dirce	-21.17000008	-47.81000137
Colobura_dirce	-25.99385278	-48.88879444
Colobura_dirce	-15.822686	-55.418388
Colobura_dirce	-25.96975	-48.90006944
Colobura_dirce	-25.97712778	-48.89678333
Colobura_dirce	-0.191388889	-60.71777778
Colobura_dirce	-25.96975	-48.90006944
Colobura_dirce	-22.9	-47.05
Colobura_dirce	1.245277778	-60.48305556
Colobura_dirce	-25.99385278	-48.88879444
Colobura_dirce	-25.96975	-48.90006944
Colobura_dirce	1.928888889	-61.0225
Historis_odius	-15.32330036	-58.00360107
Historis_odius	-24.26666667	-48.4
Historis_odius	-22.81666667	-47.1
Historis_odius	-21.47055556	-46.16
Historis_odius	-23.28333333	-45.05
Historis_odius	-21.31666667	-47.26666667
Historis_odius	-15.00809956	-59.95059967
Historis_odius	-22.83333333	-46.83333333
Historis_odius	-18.09055556	-57.47472222
Historis_odius	-27.02833333	-49.03805556
Historis_odius	-22.35000038	-47.38000107
Historis_odius	-15.32330036	-58.00360107
Historis_acheronta	-15.32330036	-58.00360107
Historis_odius	-20193056	-46599167
Historis_odius	-22.90276667	-47.01988
Historis_odius	-21619548	-48492509
Historis_odius	-16387967	-39348758
Historis_odius	-83626	-36036475
Historis_odius	-672269	-3517014
Historis_odius	-14088442	-42499028
Historis_odius	-3.745448	-38.573727
Historis_odius	-7.012222	-34.956944
Historis_odius	-22.842778	-45.518056
Historis_odius	-1.666194	-55.796475
Historis_odius	-25.154556	-53.842081
Historis_odius	-9.597932	-55.931274
Historis_odius	-23.215826	-44.763706
Historis_odius	-9.948889	-62.963333
Historis_odius	-22.215735	-45.961382
Historis_odius	-22.94097	-46.733547
Historis_odius	-15.873797	-47.83062
Historis_odius	-20.143333	-44.199722
Historis_acheronta	-6.018507219	-50.30416489
Baeotus_aeilus	-4.1910733	-60.7773583
Baeotus_aeilus	-3.692014	-60.247667
Baeotus_aeilus	-9.5972	-55.9312
Colobura_dirce	-22.842778	-45.518056
Colobura_dirce	-7.012222	-34.956944
Colobura_dirce	-25.61508942	-54.48347092
Colobura_dirce	-25070306	-53659139
Colobura_dirce	-7063333	-34854464
Colobura_dirce	-23.698775	-46.64143952
Colobura_dirce	-23.41809792	-46.78853089
Colobura_dirce	-3.211346667	-52.21222
Colobura_dirce	-19.79314718	-42.12148365
Colobura_dirce	-12.86498	-38.39527833
Colobura_dirce	-3.075833321	-59.98305511
Colobura_dirce	-21619548	-48492509
Colobura_dirce	-3.098949914	-59.98563051
Colobura_dirce	-23.71135	-46.736575
Colobura_dirce	-25.40006826	-49.2550915
Colobura_dirce	-25.154556	-53.842081
Colobura_dirce	-8.077202735	-34.96531778
Colobura_dirce	-27.6007034	-48.5191775
Colobura_dirce	-20998444	-41211833
Colobura_dirce	-21.265556	-56.702778
Colobura_dirce	-16386808	-39347436
Colobura_dirce	-23.40810087	-51.93547308
Colobura_dirce	-1.666194	-55.796475
Colobura_dirce	-672269	-3517014
Colobura_dirce	-2382105	-46119048
Colobura_dirce	-83626	-36036475
Colobura_dirce	-20.23892	-46.635424
Colobura_dirce	-23.254886	-47.293139
Colobura_dirce	-15833844	-47816419
Colobura_dirce	-23443144	-47589964
Colobura_dirce	-9.9572371	-67.8746225
Colobura_dirce	-9.948889	-62.963333
Colobura_dirce	-18987778	-40107778
Colobura_dirce	-25583333	-48533333
Colobura_dirce	-15.865238	-47.827522
Colobura_dirce	-22766667	-45.45
Colobura_dirce	-9.905163419	-62.91061097
Colobura_dirce	-3.006458333	-59.93936667
Colobura_dirce	-22451	-42.7774
Colobura_dirce	-23823802	-46121952
Colobura_dirce	-10074167	-67604167
Colobura_dirce	-19.6074435	-43.42875254
Colobura_dirce	-19834464	-42121792
Colobura_dirce	-5.90731231	-35.19731093
Colobura_dirce	-22.64921994	-43.53133432
Colobura_dirce	-29.1589555	-49.98328833
Colobura_dirce	-3.0793695	-59.960205
Colobura_dirce	-9.406366667	-50.01336667
Colobura_dirce	-25.833076	-48.543895
Colobura_dirce	-7.538080556	-63.3436
Colobura_dirce	-23033331	-45483331
Colobura_dirce	-20.33127652	-40.28691683
Colobura_dirce	-1.609928568	-47.48737561
Colobura_dirce	-8.0542775	-34.8812561
Colobura_annulata	-9.597932	-55.931274
Historis_odius	6.191431	-74.063609
Historis_odius	18.305407	-66.288046
Historis_odius	18.140739	-94.446859
Historis_odius	8.387192	-77.873278
Historis_odius	-4.124542	-73.306582
Historis_odius	16.807722	-90.900419
Historis_odius	14.386811	-91.082782
Historis_odius	16.901333	-90.96776
Historis_odius	-28.429643	-48.852747
Historis_odius	-23.788474	-45.577456
Historis_odius	0.025173	-78.892044
Historis_odius	-25.55102	-54.500937
Historis_odius	-22.395782	-44.553565
Historis_odius	-23.610838	-46.825766
Historis_odius	-3.628726	-40.411322
Historis_odius	10.46613	-84.736022
Historis_odius	-26.48139	-49.08423
Historis_odius	-24.086944	-46.623056
Historis_odius	-23.073492	-45.983203
Historis_odius	-28.665311	-49.480224
Historis_odius	-27.589618	-48.53085
Historis_odius	-24.365953	-47.0122
Historis_odius	-22.462312	-45.627487
Historis_odius	-25.530506	-54.137
Historis_odius	-9.070063	-44.353561
Historis_odius	-15.790923	-48.907895
Historis_odius	-12.382073	-54.936976
Historis_odius	-7.308999	-39.3656
Historis_odius	-24.954285	-49.424647
Historis_odius	-22.894903	-45.941404
Historis_odius	-22.958037	-43.333473
Historis_odius	22.325891	-81.183222
Historis_odius	5.936721	-75.135589
Historis_odius	5.069457	-74.380305
